"title","rating","poster","totalRatings","releaseDate","genres"
"Dark Phoenix (2019)","6.1","https://m.media-amazon.com/images/M/MV5BMjAwNDgxNTI0M15BMl5BanBnXkFtZTgwNTY4MDI1NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","21,711","6 June 2019 (Taiwan)","[""Action"",""Adventure"",""Sci-Fi""]"
"Legion","8.3","https://m.media-amazon.com/images/M/MV5BNTA5MzY2OTc4OV5BMl5BanBnXkFtZTgwNTYzNjYwODM@._V1_UY268_CR16,0,182,268_AL_.jpg","71,841","TV Series (2017– )","[""Action"",""Drama"",""Sci-Fi""]"
